Hiram Station Bar,770-445-8797,$,"3736 Atlanta Hwy, Hiram, GA 30141"
278 South,470-377-4909,$,"3716 Atlanta Hwy, Hiram, GA 30141"
The Place Tavern,770-222-6689,$$,"5886 Wendy Bagwell Pkwy, Hiram, GA 30141"
The Box Sports Bar,678-504-5222,$$,"51 Seven Hills Blvd, Dallas, GA 30132"
Olde Towne Tavern,770-499-7878,$$,"2500 Cobb Pkwy N, Kennesaw, GA 30152"
unWined & Tap,678-701-3128,$$$,"2493 Cedarcrest Rd, Acworth, GA 30101"
Center Street Tavern,770-917-0004,$$,"4381 Center St, Acworth, GA 30101"
Bar North,678-403-8650,$,"3900 Legacy Park Blvd NW B100, Kennesaw, GA 30144"
Red Top Brewhouse,470-893-0425,$$,"4637 S Main St, Acworth, GA 30101"
